X, Y                                     ->    Z              	Std Lift            	Lift                	Confidence          	Interest            
368581000119106     127013003            ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
431855005           237602007            ->    127013003      	1.0                 	210.65731457135425  	1.0                 	0.9952529538220175  
703151001           84757009             ->    128613002      	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
429007001           271737000            ->    410429000      	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
429007001           10509002             ->    410429000      	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
195662009           92691004             ->    126906006      	1.0                 	251.80075291842232  	1.0                 	0.9960286059973619  
368581000119106     80394007             ->    237602007      	1.0                 	97.99904563478728   	1.0                 	0.9897958189947411  
428251008           10509002             ->    74400008       	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
237602007           55822004             ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
156073000           59621000             ->    72892002       	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
53741008            22298006             ->    399211009      	1.0                 	295.5025535019455   	1.0                 	0.996615934488047   
80394007            15777000             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
80394007            40055000             ->    237602007      	1.0                 	97.99904563478728   	1.0                 	0.9897958189947411  
271737000           237602007            ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
271737000           127013003            ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
428251008           47693006             ->    74400008       	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
237602007           80394007             ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
429007001           59621000             ->    410429000      	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
1551000119108       302870006            ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
444814009           80394007             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
156073000           15777000             ->    72892002       	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
713197008           271737000            ->    68496003       	1.0                 	85.18395317045814   	1.0                 	0.9882606997822825  
1551000119108       302870006            ->    422034002      	1.0                 	356.4058955807587   	1.0                 	0.9971942102742983  
271737000           156073000            ->    19169002       	1.0                 	36.111221730214865  	1.0                 	0.9723077771372304  
399211009           195662009            ->    22298006       	1.0                 	295.5025535019455   	1.0                 	0.996615934488047   
422034002           59621000             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
444814009           84757009             ->    703151001      	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
431855005           271737000            ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
237602007           19169002             ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
444814009           431855005            ->    127013003      	1.0                 	210.65731457135425  	1.0                 	0.9952529538220175  
703151001           444814009            ->    128613002      	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
72892002            35999006             ->    19169002       	1.0                 	36.111221730214865  	1.0                 	0.9723077771372304  
444814009           128613002            ->    703151001      	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
431855005           302870006            ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
127013003           80394007             ->    237602007      	1.0                 	97.99904563478728   	1.0                 	0.9897958189947411  
422034002           80394007             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
368581000119106     80394007             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
444814009           47693006             ->    428251008      	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
80394007            10509002             ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
431855005           40055000             ->    127013003      	1.0                 	210.65731457135425  	1.0                 	0.9952529538220175  
237602007           59621000             ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
431855005           237602007            ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
431855005           80394007             ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
444814009           35999006             ->    72892002       	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
398254007           195662009            ->    72892002       	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
302870006           127013003            ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
